f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.117073,0.102439,0.0951219,0.0707317,0.0951219,0.0878049,0.131707,0.0585366,0.165854,0.0756098,2
0.102625,0.0859189,0.097852,0.107399,0.0883055,0.0835322,0.136038,0.0548926,0.157518,0.0859189,2
0.105856,0.0855856,0.0878378,0.112613,0.0698198,0.0923423,0.130631,0.0540541,0.191441,0.0698198,2
0.102908,0.0805369,0.100671,0.102908,0.0872483,0.0894855,0.123043,0.0738255,0.176734,0.0626398,2
0.104677,0.0801782,0.0846325,0.10245,0.111359,0.104677,0.104677,0.064588,0.175947,0.0668151,2
0.111872,0.0821918,0.0958904,0.0958904,0.0958904,0.109589,0.130137,0.0547945,0.143836,0.0799087,2
0.139785,0.0967742,0.105735,0.109319,0.111111,0.0860215,0.105735,0.0537634,0.141577,0.0501792,2
0.143847,0.107452,0.121317,0.102253,0.0883882,0.084922,0.114385,0.0727903,0.121317,0.0433276,2
0.144424,0.106033,0.117002,0.11883,0.0804388,0.0968921,0.113346,0.047532,0.129799,0.0457038,2
0.15879,0.100189,0.100189,0.102079,0.094518,0.0869565,0.10775,0.0623819,0.134216,0.0529301,2
0.152513,0.0710572,0.131716,0.112652,0.0935875,0.0814558,0.105719,0.0606586,0.152513,0.0381282,2
0.122244,0.11022,0.104208,0.0961924,0.144289,0.0821643,0.0961924,0.0581162,0.154309,0.0320641,2
0.117202,0.143667,0.0982987,0.0888469,0.122873,0.0888469,0.10586,0.0586011,0.137996,0.0378072,2
0.118299,0.127542,0.118299,0.0739372,0.12939,0.0831793,0.0924214,0.0739372,0.138632,0.0443623,2
0.11883,0.11883,0.113346,0.0987203,0.129799,0.0822669,0.0877514,0.0621572,0.137112,0.0511883,2
0.130435,0.10397,0.10775,0.0793951,0.119093,0.0888469,0.094518,0.073724,0.132325,0.0699433,2
0.107616,0.122517,0.0960265,0.0993377,0.11755,0.0778146,0.0993377,0.0480132,0.167219,0.0645695,2
0.12562,0.11405,0.0909091,0.0991736,0.107438,0.077686,0.0942149,0.0545455,0.171901,0.0644628,2
0.0985916,0.114241,0.0892019,0.0954617,0.107981,0.0876369,0.111111,0.0469484,0.189358,0.0594679,2
0.0993884,0.0948012,0.0856269,0.0932722,0.111621,0.0764526,0.131498,0.0626911,0.188073,0.0565749,2
0.110935,0.0982567,0.0950872,0.0839937,0.101426,0.0729002,0.110935,0.0602219,0.187005,0.0792393,2
0.11252,0.103011,0.103011,0.0935024,0.107765,0.0903328,0.106181,0.0618067,0.155309,0.066561,2
0.112676,0.084507,0.0764588,0.134809,0.0925553,0.0643863,0.126761,0.056338,0.160966,0.0905433,2
