f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.212454,0.0769231,0.0989011,0.0769231,0.0952381,0.0732601,0.0952381,0.0989011,0.102564,0.0695971,0
0.205036,0.0863309,0.0719424,0.0503597,0.0827338,0.0935252,0.111511,0.115108,0.125899,0.057554,0
0.213559,0.0813559,0.108475,0.0677966,0.0949153,0.0949153,0.0813559,0.0915254,0.115254,0.0508475,0
0.228571,0.0892857,0.0892857,0.0392857,0.0964286,0.05,0.110714,0.110714,0.114286,0.0714286,0
0.196787,0.0883534,0.108434,0.0481928,0.0963855,0.0722892,0.0883534,0.144578,0.0923695,0.064257,0
0.182836,0.0708955,0.123134,0.0671642,0.108209,0.0858209,0.0746269,0.100746,0.119403,0.0671642,0
0.154676,0.107914,0.0935252,0.0935252,0.0971223,0.0827338,0.0755396,0.115108,0.125899,0.0539568,0
0.149502,0.0797342,0.0996678,0.10299,0.106312,0.0697674,0.0730897,0.126246,0.0930233,0.0996678,0
0.18254,0.0952381,0.0992064,0.0952381,0.103175,0.0912698,0.0952381,0.103175,0.0714286,0.0634921,0
0.172161,0.0915751,0.113553,0.0952381,0.0989011,0.0732601,0.0952381,0.0952381,0.102564,0.0622711,0
0.195402,0.0804598,0.103448,0.0727969,0.0881226,0.0804598,0.0842912,0.10728,0.114943,0.0727969,0
0.178451,0.0606061,0.124579,0.0572391,0.0841751,0.0774411,0.0909091,0.0976431,0.13468,0.0942761,0
0.134752,0.0780142,0.120567,0.070922,0.0992908,0.0992908,0.0992908,0.0851064,0.138298,0.0744681,0
0.151724,0.0793103,0.110345,0.1,0.0689655,0.0758621,0.0862069,0.113793,0.124138,0.0896552,0
0.152416,0.0855019,0.0743494,0.0780669,0.0855019,0.0929368,0.0780669,0.126394,0.126394,0.100372,0
0.156923,0.0738462,0.0892308,0.0923077,0.101538,0.0984615,0.0738462,0.101538,0.126154,0.0861538,0
0.190769,0.101538,0.0646154,0.0830769,0.116923,0.0676923,0.123077,0.0523077,0.126154,0.0738462,0
0.139601,0.0797721,0.0769231,0.0883191,0.0940171,0.0740741,0.116809,0.119658,0.131054,0.0797721,0
0.152047,0.0877193,0.0672515,0.0730994,0.0994152,0.0672515,0.125731,0.105263,0.137427,0.0847953,0
0.145773,0.0758018,0.090379,0.0932945,0.0728863,0.0816327,0.116618,0.113703,0.145773,0.0641399,0
0.149333,0.0933333,0.0773333,0.0933333,0.0853333,0.08,0.114667,0.0826667,0.138667,0.0853333,0
0.181319,0.0879121,0.0906593,0.0549451,0.104396,0.0741758,0.0824176,0.131868,0.0989011,0.0934066,0
0.19888,0.0728291,0.0896359,0.0784314,0.0784314,0.0896359,0.0672269,0.106443,0.131653,0.0868347,0
0.175393,0.0890052,0.0837696,0.0837696,0.091623,0.065445,0.078534,0.0837696,0.128272,0.120419,0
0.189055,0.0995025,0.0771144,0.0721393,0.079602,0.0771144,0.0572139,0.0920398,0.121891,0.134328,0
0.202817,0.084507,0.056338,0.084507,0.0873239,0.0422535,0.0732394,0.107042,0.112676,0.149296,0
0.202454,0.0705521,0.0766871,0.0644172,0.0981595,0.0736196,0.0828221,0.0920245,0.116564,0.122699,0
0.170507,0.0829493,0.112903,0.0691244,0.115207,0.0529954,0.101382,0.09447,0.0852535,0.115207,0
0.164045,0.103371,0.0988764,0.0539326,0.103371,0.047191,0.0898876,0.0876404,0.094382,0.157303,0
0.155303,0.0909091,0.092803,0.0681818,0.0984849,0.0643939,0.123106,0.0757576,0.104167,0.126894,0
0.136201,0.0842294,0.078853,0.0681004,0.103943,0.0483871,0.116487,0.0860215,0.103943,0.173835,0
0.153704,0.0925926,0.087037,0.0703704,0.1,0.0444444,0.114815,0.0888889,0.107407,0.140741,0
0.164021,0.0661376,0.0793651,0.0714286,0.0899471,0.0634921,0.10582,0.0978836,0.132275,0.12963,0
0.153846,0.0769231,0.0901857,0.0795756,0.0954907,0.0530504,0.108753,0.0954907,0.119363,0.127321,0
0.168022,0.0813008,0.0677507,0.0704607,0.0704607,0.0433604,0.116531,0.100271,0.111111,0.170732,0
0.159686,0.0680628,0.0759162,0.0811518,0.078534,0.0445026,0.128272,0.0759162,0.120419,0.167539,0
0.15285,0.0699482,0.0880829,0.0829016,0.0906736,0.0440415,0.101036,0.0673575,0.126943,0.176166,0
0.194986,0.0835655,0.0807799,0.0835655,0.0947075,0.0696379,0.0891365,0.0947075,0.130919,0.0779944,0
0.18984,0.0695187,0.0534759,0.104278,0.0855615,0.0721925,0.112299,0.106952,0.114973,0.0909091,0
0.188482,0.0732984,0.0602094,0.0994764,0.0680628,0.091623,0.112565,0.0994764,0.120419,0.0863874,0
0.163934,0.068306,0.0710382,0.114754,0.0765027,0.0737705,0.10929,0.117486,0.106557,0.0983607,0
0.172603,0.0958904,0.0575342,0.0821918,0.0849315,0.0547945,0.0931507,0.120548,0.106849,0.131507,0
0.152993,0.108647,0.0798226,0.104213,0.104213,0.0776053,0.101996,0.0576497,0.101996,0.110865,0
0.155756,0.106095,0.0812641,0.0857788,0.0880361,0.0902935,0.13544,0.0632054,0.0925508,0.10158,0
0.180365,0.0821918,0.0799087,0.0730594,0.0913242,0.086758,0.0981735,0.0981735,0.100457,0.109589,0
0.180467,0.0870488,0.0849257,0.0806794,0.0912951,0.0934183,0.101911,0.0785563,0.10828,0.0934183,0
0.176072,0.0902935,0.0790068,0.0880361,0.108352,0.0812641,0.0970655,0.0722348,0.115124,0.0925508,0
0.174107,0.0848214,0.116071,0.0625,0.09375,0.09375,0.0892857,0.111607,0.120536,0.0535714,0
0.15748,0.0866142,0.137795,0.0866142,0.0866142,0.106299,0.0748032,0.0748032,0.125984,0.0629921,0
0.144068,0.0762712,0.139831,0.059322,0.0847458,0.152542,0.0720339,0.0932203,0.105932,0.0720339,0
