f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,label
0.00487805,0.00243902,0,0,0.00487805,0.0146341,0.00243902,0.00731707,0.00487805,0.00731707,0.00243902,0.0390244,0,0.0121951,0.00487805,0.0146341,0.0195122,0.0097561,0.0170732,0.00243902,0.0097561,0.00731707,0.0219512,0.0268293,0.0097561,0.0097561,0.0170732,0.00243902,0.0146341,0.0195122,0.0219512,0.0268293,0.00731707,0.00487805,0.00243902,0,0.00487805,0.0121951,0.00731707,0.00731707,0.00731707,0.00731707,0.00487805,0.0170732,0.00487805,0.00243902,0.0195122,0.0121951,0.00731707,0.00731707,0.0170732,0.0097561,0.00487805,0.00243902,0.0097561,0.00731707,0.0121951,0.0146341,0.0097561,0.00487805,0.0121951,0.0121951,0.00243902,0.0097561,0.00731707,0.0219512,0.00243902,0.00731707,0.0146341,0.00243902,0.0097561,0.00731707,0.0195122,0,0.0146341,0.0121951,0.0097561,0.00487805,0.0170732,0.0097561,0.0219512,0.0146341,0.0121951,0.00487805,0.00487805,0.0121951,0.00487805,0.00731707,0.0097561,0.00731707,0.0121951,0.0097561,0.0097561,0.0146341,0.00487805,0.00731707,0.00243902,0.00731707,0.0341463,0.0121951,2
0.0071599,0.0071599,0.00477327,0,0.00954654,0.0119332,0.00238663,0.0143198,0.0167064,0.0167064,0.0071599,0.0334129,0,0.0119332,0.00477327,0.00954654,0.0143198,0.00954654,0.00954654,0.00477327,0.0119332,0,0.0214797,0.026253,0.0119332,0.00238663,0.00954654,0.00477327,0.0143198,0.026253,0.00954654,0.0214797,0.00954654,0.00477327,0.0167064,0.0071599,0.00477327,0.00238663,0.0071599,0.0071599,0.0119332,0.00954654,0.00238663,0.0071599,0.00954654,0.00238663,0.0143198,0.0190931,0.0143198,0.00954654,0.0214797,0.00477327,0.00477327,0.00477327,0.0071599,0.00954654,0.00477327,0.0119332,0.0071599,0.00477327,0.0143198,0.0119332,0.0071599,0.00954654,0.00477327,0.0238663,0.00238663,0.0119332,0.0167064,0.00238663,0.0071599,0.0071599,0.0190931,0.00477327,0.0167064,0.00238663,0.0071599,0.00238663,0.0167064,0.00954654,0.0214797,0.00954654,0.0119332,0.00477327,0.00477327,0.00238663,0.0143198,0.00954654,0.0119332,0.00238663,0.00238663,0.0167064,0.0119332,0.0214797,0.00238663,0.00954654,0.00477327,0,0.0214797,0.0214797,2
0,0.0112613,0.0045045,0.00225225,0.0112613,0.018018,0.00900901,0.00675676,0.0112613,0.0045045,0.00225225,0.0225225,0.00225225,0.0112613,0.00900901,0.0157658,0.0157658,0.0045045,0.0225225,0.00900901,0.00900901,0.0112613,0.0225225,0.0247748,0.00675676,0.0045045,0.00900901,0.018018,0.0112613,0.0247748,0.018018,0.0225225,0.0135135,0.00675676,0.00675676,0.00675676,0.00225225,0.00675676,0,0.0112613,0.00675676,0.00225225,0.00675676,0.00900901,0.00900901,0.00675676,0.0135135,0.00900901,0.0135135,0.00225225,0.0135135,0.00900901,0.00225225,0.00675676,0.0157658,0.0112613,0.0112613,0.018018,0.0135135,0.00675676,0.0157658,0.00900901,0.00225225,0.018018,0.0112613,0.018018,0.0045045,0.0135135,0.018018,0.0045045,0,0.00900901,0.0135135,0,0.00675676,0.00675676,0.00225225,0.00675676,0.0135135,0.0202703,0.0157658,0.00900901,0.018018,0.0045045,0.00675676,0.00900901,0.00225225,0.00675676,0.0112613,0.00675676,0.00675676,0.0157658,0.00675676,0.0157658,0.0045045,0.00900901,0.00225225,0.0045045,0.0202703,0.0135135,2
0.00671141,0.00447427,0,0.00447427,0.00894855,0.00894855,0.00447427,0.0134228,0.0201342,0.00223714,0.00671141,0.0246085,0,0.0134228,0.00447427,0.0201342,0.0178971,0.00447427,0.0223714,0.00894855,0.0178971,0.0134228,0.01566,0.0178971,0.00671141,0.00447427,0.00447427,0.00223714,0.00671141,0.0357942,0.0223714,0.0201342,0.0134228,0.00894855,0.00671141,0.00447427,0.00671141,0.0134228,0.00894855,0.00671141,0.0111857,0.00894855,0.00447427,0.00894855,0.00447427,0.00671141,0.0178971,0.0111857,0.00894855,0.00671141,0.0134228,0.00223714,0.00671141,0.00671141,0.0111857,0.00671141,0.0111857,0.00894855,0.00447427,0.00447427,0.0111857,0.0178971,0,0.01566,0.0111857,0.0134228,0.00894855,0.01566,0.00894855,0.00447427,0.00447427,0.00894855,0.0201342,0.00447427,0.01566,0.00671141,0.00894855,0.00671141,0.0111857,0.0134228,0.0223714,0.00447427,0.00894855,0.00447427,0.00447427,0.00447427,0.0111857,0.00671141,0.00447427,0.00671141,0.00223714,0.0201342,0.01566,0.0178971,0.00223714,0.00894855,0.00671141,0.00223714,0.0268456,0.0111857,2
0.00222717,0.013363,0.00445434,0.00222717,0.00445434,0.013363,0.00668151,0.00445434,0.0178174,0.00445434,0.00668151,0.0244989,0.00222717,0.0111359,0.00222717,0.0178174,0.0155902,0.00445434,0.00890869,0.00890869,0.00890869,0.00890869,0.0200445,0.0222717,0.00890869,0.00890869,0.013363,0.0111359,0.0155902,0.0267261,0.0200445,0.0244989,0.0155902,0.0178174,0,0.00445434,0.00668151,0.0155902,0.00222717,0.00890869,0.013363,0.00445434,0.00890869,0.00890869,0.00222717,0.00222717,0.0111359,0.00890869,0.013363,0.00668151,0.0111359,0.00222717,0.00222717,0.00668151,0.0222717,0.00222717,0.013363,0.00668151,0.00890869,0.00668151,0.013363,0.0222717,0.00222717,0.0200445,0.00445434,0.0111359,0.00890869,0.00668151,0.0111359,0.00890869,0.013363,0.00445434,0.013363,0,0.0178174,0.00222717,0.00890869,0.00445434,0.013363,0.0200445,0.0111359,0.00890869,0.013363,0.00445434,0.00445434,0.00668151,0.00668151,0.00445434,0.00890869,0.00668151,0.00668151,0.0178174,0.0178174,0.013363,0.00222717,0.00668151,0.00668151,0.00445434,0.0244989,0.0178174,2
0.00456621,0.0114155,0.0022831,0.0022831,0.0136986,0.00913242,0.0182648,0.0114155,0.0136986,0.00684932,0.0022831,0.0251142,0,0.0159817,0,0.0182648,0.0159817,0.00456621,0.0114155,0.00913242,0.0136986,0.00456621,0.0159817,0.0159817,0.00684932,0.00456621,0.0205479,0.00913242,0.0205479,0.022831,0.0182648,0.022831,0.0182648,0.022831,0.00684932,0.00456621,0.00456621,0.00456621,0.0022831,0.00684932,0.0136986,0.00913242,0.00456621,0.00913242,0,0.00456621,0.00913242,0.0114155,0.00684932,0.00913242,0.00684932,0.00456621,0.0022831,0.00684932,0.0182648,0,0.0114155,0.0022831,0.0182648,0.0114155,0.0182648,0.0136986,0.00913242,0.0114155,0.0022831,0.0114155,0,0.00913242,0.0159817,0.0136986,0.0159817,0.0114155,0.00913242,0.0022831,0.00913242,0.00684932,0.00913242,0,0.00684932,0.022831,0.0205479,0.00913242,0.0136986,0.00456621,0.0022831,0.00456621,0.0114155,0.0022831,0.00456621,0.0022831,0.0136986,0.0159817,0.0114155,0.022831,0.0022831,0.00913242,0.00456621,0.00456621,0.022831,0.0159817,2
0.00537634,0.0107527,0.00537634,0.00358423,0.00179211,0.00716846,0.00537634,0.00896057,0.00896057,0.00537634,0.0179211,0.0215054,0.00896057,0.0107527,0.0143369,0.0215054,0.00896057,0.0143369,0.0125448,0.00537634,0.0197133,0.016129,0.0179211,0.00896057,0.00896057,0.00358423,0.0107527,0.0125448,0.00358423,0.0286738,0.00537634,0.0107527,0.0107527,0.00716846,0.00716846,0.016129,0.0143369,0.00537634,0.00537634,0.00896057,0.016129,0.00537634,0.0143369,0.00716846,0.00896057,0.00179211,0.0125448,0.00896057,0.0125448,0.0215054,0.00716846,0.00358423,0.00716846,0.00358423,0.0125448,0.00358423,0.0179211,0.0125448,0.0125448,0.00537634,0.00358423,0.0107527,0.00896057,0.0179211,0.00358423,0.00716846,0.00716846,0.0107527,0.0125448,0.0107527,0.00716846,0.0125448,0.00716846,0.00179211,0.0125448,0.00896057,0.0143369,0.0143369,0.00896057,0.0143369,0.0197133,0.0107527,0.0179211,0,0.00537634,0.00537634,0.0107527,0.00716846,0.00716846,0.00716846,0.00716846,0.0250896,0.0215054,0.00358423,0.00179211,0.00716846,0.00537634,0.00358423,0.0179211,0.00358423,2
0.00519931,0.00866551,0.0017331,0.00519931,0.0017331,0.0103986,0.00519931,0.0034662,0.0034662,0.00693241,0.0138648,0.0207972,0.00693241,0.00693241,0.0155979,0.0242634,0.00693241,0.00519931,0.0225303,0.00519931,0.0277296,0.0121317,0.0138648,0.0103986,0.0121317,0.0034662,0.00866551,0.0103986,0.0034662,0.0259965,0.0103986,0.0103986,0.0138648,0.0121317,0.0103986,0.0121317,0.0121317,0.00519931,0.00519931,0.00693241,0.0138648,0.00693241,0.0121317,0.0034662,0.0121317,0.0034662,0.0034662,0.0017331,0.00519931,0.0207972,0.00866551,0.00693241,0.00866551,0.0034662,0.0155979,0.0155979,0.0155979,0.0138648,0.0121317,0.0103986,0.0121317,0.0121317,0.00866551,0.0155979,0,0.0155979,0.0138648,0.00866551,0.0138648,0.00866551,0.00519931,0.017331,0.00693241,0.00519931,0.0259965,0.0121317,0.0103986,0.0103986,0.00866551,0.0207972,0.0277296,0.00519931,0.0190641,0,0.0017331,0.00519931,0.0103986,0.0103986,0.0034662,0.0017331,0.00519931,0.0277296,0.0103986,0.00866551,0.0034662,0.0017331,0.0034662,0.00519931,0.0121317,0.0034662,2
0.00365631,0.0164534,0.00182815,0.00182815,0,0.00914077,0.00731261,0.00914077,0.00914077,0.00914077,0.0127971,0.0274223,0.00731261,0.0219378,0.0182815,0.0146252,0.00731261,0.00914077,0.0164534,0.00548446,0.0219378,0.00548446,0.0109689,0.0164534,0.00914077,0.00365631,0.00914077,0.0182815,0.00182815,0.0127971,0.00914077,0.00914077,0.0164534,0.00731261,0.00731261,0.0109689,0.00914077,0.00365631,0.00731261,0.00914077,0.0164534,0.0109689,0.0219378,0.00548446,0.00914077,0.00182815,0.00914077,0.00365631,0.0127971,0.0201097,0.0127971,0.00914077,0.00914077,0.00365631,0.0109689,0.00548446,0.0109689,0.0182815,0.0146252,0.00731261,0.00731261,0.00914077,0.00731261,0.0109689,0.00365631,0.0182815,0.0109689,0.00731261,0.00548446,0.0109689,0.00548446,0.023766,0.00731261,0.00365631,0.00914077,0.0109689,0.0127971,0.0146252,0.00548446,0.0127971,0.0201097,0.00914077,0.0109689,0.00365631,0.00731261,0.0109689,0.00548446,0.00914077,0.0109689,0.00548446,0.00914077,0.0255942,0.00914077,0.0109689,0.00365631,0.00365631,0.00365631,0.0109689,0.0109689,0,2
0.00756144,0.0094518,0.00567108,0.00189036,0.00189036,0.0151229,0.00756144,0.0094518,0.00756144,0.00756144,0.020794,0.020794,0.00756144,0.00756144,0.0151229,0.0132325,0.00567108,0.00756144,0.020794,0.00567108,0.0151229,0.0132325,0.00567108,0.0132325,0.00567108,0.00189036,0.0151229,0.0113422,0.00378072,0.0170132,0.0113422,0.0113422,0.0132325,0.0113422,0.00567108,0.0151229,0.0151229,0.00567108,0.0132325,0.0094518,0.0151229,0.0094518,0.026465,0.00378072,0.0113422,0.00189036,0.00378072,0.00567108,0.00567108,0.0151229,0.0170132,0.00567108,0.0113422,0.00378072,0.0226843,0.00567108,0.0151229,0.0132325,0.0113422,0.00756144,0.00189036,0.0170132,0.0113422,0.0132325,0.00378072,0.0113422,0.00756144,0.00378072,0.0113422,0.0132325,0.0113422,0.00756144,0.00567108,0.00378072,0.0151229,0.0170132,0.0113422,0.0132325,0.00189036,0.0132325,0.0151229,0.0094518,0.0132325,0,0.00756144,0.00567108,0.00378072,0.0094518,0.0132325,0.00756144,0.00756144,0.026465,0.0113422,0.0151229,0.00189036,0.00756144,0.00378072,0.00567108,0.0151229,0.00189036,2
