f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,label
0.00732601,0.00732601,0.010989,0.010989,0.021978,0.00732601,0.00732601,0,0.003663,0.014652,0.00732601,0.021978,0.003663,0.003663,0.00732601,0.003663,0.025641,0,0,0.003663,0.00732601,0.021978,0.003663,0.010989,0.00732601,0.003663,0.021978,0.014652,0.00732601,0.021978,0.021978,0.00732601,0.00732601,0.014652,0.010989,0.010989,0.014652,0.010989,0.003663,0.003663,0.00732601,0.003663,0.029304,0.021978,0.003663,0.003663,0.010989,0.003663,0.003663,0.014652,0.014652,0.003663,0.010989,0,0.014652,0,0.00732601,0.010989,0.003663,0.010989,0,0.010989,0.00732601,0.010989,0.010989,0.003663,0.00732601,0.003663,0.003663,0.00732601,0.010989,0.010989,0.00732601,0.00732601,0.040293,0.018315,0.00732601,0.025641,0.00732601,0.014652,0.010989,0.029304,0.00732601,0.00732601,0.00732601,0.025641,0.003663,0.010989,0.014652,0,0.010989,0.032967,0.00732601,0.003663,0.003663,0.00732601,0,0.00732601,0.00732601,0.010989,0
0.00359712,0.00719424,0.0107914,0.0143885,0.0143885,0.00719424,0.00359712,0,0.00359712,0.00359712,0.0179856,0.0107914,0.00359712,0,0.00719424,0,0.0395683,0.00359712,0.00719424,0.00359712,0.0143885,0.028777,0.00359712,0.0107914,0.0107914,0,0.0179856,0.0107914,0.00359712,0.00719424,0.0251799,0.0143885,0.00359712,0.0107914,0.0107914,0.0107914,0.0107914,0.0143885,0.0107914,0.00359712,0.00359712,0.00719424,0.0143885,0.0251799,0.0107914,0.00359712,0.00719424,0.00359712,0.00719424,0.0251799,0.0143885,0.0107914,0.0179856,0,0.0107914,0.00719424,0.0179856,0,0.00719424,0.00719424,0,0.0215827,0.00359712,0.00719424,0.0107914,0.00719424,0.00359712,0,0.00719424,0.0107914,0.00359712,0.0107914,0.00719424,0.00719424,0.0467626,0.0143885,0.0107914,0.0107914,0.00719424,0.0215827,0.0215827,0.0215827,0.0107914,0,0.0143885,0.028777,0.00359712,0.00719424,0,0.00359712,0.0107914,0.0251799,0.0107914,0.00359712,0.00719424,0.00359712,0,0.00359712,0.0107914,0.0143885,0
0.00677966,0.00338983,0.0135593,0.0101695,0.0101695,0.0101695,0.0101695,0,0,0.0135593,0.0101695,0.0135593,0.00677966,0.00338983,0.00677966,0.0135593,0.0271186,0.00677966,0.00338983,0.0101695,0.00677966,0.00338983,0.00338983,0.00677966,0.0101695,0.00338983,0.020339,0.0135593,0.00338983,0.0101695,0.020339,0.0135593,0.0101695,0.0101695,0.0101695,0.0101695,0.00338983,0.00677966,0.00677966,0.00338983,0.00338983,0.0101695,0.020339,0.020339,0.0135593,0.00338983,0.00338983,0,0.0101695,0.0101695,0,0.00338983,0.00677966,0,0.00338983,0.00338983,0.0101695,0.00338983,0.0101695,0.00677966,0.00338983,0.020339,0.0101695,0.0135593,0.0101695,0.0135593,0.00338983,0,0.0169492,0.00677966,0.0135593,0.0305085,0.0101695,0.0101695,0.0474576,0.0135593,0.0271186,0.0305085,0.00677966,0.0169492,0.0101695,0.0305085,0.0169492,0.00677966,0.0101695,0.0169492,0.0101695,0.0135593,0.00338983,0,0.0101695,0.0237288,0.0135593,0,0.0101695,0.00338983,0,0.00338983,0.0101695,0.00338983,0
0.00357143,0.00714286,0.0142857,0.0142857,0.0142857,0.00714286,0.00714286,0,0,0.0107143,0.0142857,0.0107143,0.00714286,0,0.00714286,0.00714286,0.0357143,0.00357143,0,0.0107143,0.00714286,0.00714286,0.00357143,0.00714286,0.0178571,0,0.0142857,0,0.00357143,0.00714286,0.0178571,0.0214286,0.00357143,0.00357143,0.0107143,0.0107143,0.00714286,0.0142857,0.00714286,0.00357143,0.00714286,0.00357143,0.0321429,0.0214286,0.00357143,0.00357143,0,0.00357143,0.00357143,0.025,0.00357143,0.00714286,0.0107143,0.00357143,0.00357143,0.00714286,0.0142857,0.00357143,0.0107143,0.00357143,0,0.0178571,0.00714286,0.0107143,0.00714286,0.00357143,0,0,0.00714286,0.0107143,0.0107143,0.0142857,0.0178571,0.00714286,0.0535714,0.0107143,0.0214286,0.0214286,0.00714286,0.025,0.0142857,0.0392857,0.0142857,0.00714286,0.0107143,0.0285714,0.00714286,0.0107143,0,0,0.0142857,0.0392857,0.0142857,0.00357143,0.00714286,0,0.00357143,0.00357143,0.00357143,0.0107143,0
0.00803213,0.0120482,0.0240964,0.0120482,0.0120482,0.0120482,0.00401606,0,0.00401606,0.00803213,0.00803213,0.0120482,0,0,0.0160643,0.0120482,0.0321285,0.00401606,0.00803213,0.00803213,0.0160643,0.00803213,0,0.00803213,0.00803213,0.00401606,0.0240964,0,0.00401606,0.00401606,0.0120482,0.00401606,0.00803213,0.0160643,0.0120482,0.0120482,0.00803213,0.0200803,0.0200803,0.00803213,0.00803213,0.0120482,0.0200803,0.0240964,0.00803213,0.00401606,0.00401606,0.00401606,0.00401606,0.0200803,0,0.0160643,0.00803213,0,0.00401606,0.00401606,0.0160643,0.00401606,0.00401606,0.00803213,0,0.0160643,0.00803213,0.00803213,0.00401606,0.0160643,0.00401606,0.00401606,0.00803213,0.00803213,0.00401606,0.0200803,0.00803213,0.0120482,0.0562249,0.0120482,0.0120482,0.0160643,0.00401606,0.0120482,0.00803213,0.0281124,0.00803213,0.00803213,0.0160643,0.0120482,0.00401606,0.00803213,0.00803213,0.00401606,0.0120482,0.0321285,0.0120482,0.00401606,0.00803213,0.00401606,0,0.00401606,0.0120482,0.00803213,0
0.00746269,0.00746269,0.011194,0.0149254,0.0149254,0.00746269,0.00373134,0,0.0149254,0.0149254,0.00746269,0.011194,0.00373134,0.00373134,0.0186567,0.0149254,0.0261194,0.00373134,0.00746269,0.00746269,0.00746269,0.0149254,0,0.011194,0.00373134,0,0.0223881,0.0223881,0.00373134,0.00373134,0.011194,0.0149254,0.0149254,0.0149254,0.0149254,0.0149254,0.00746269,0.0149254,0.0149254,0.00746269,0.00373134,0.011194,0.0149254,0.0149254,0.00373134,0.00373134,0.00373134,0.00373134,0.00373134,0.0149254,0.00373134,0.00373134,0.011194,0,0.011194,0.00373134,0.0149254,0.00746269,0.011194,0.00373134,0.00746269,0.0186567,0.00373134,0.00373134,0.00746269,0.011194,0.00373134,0.00373134,0.011194,0.00373134,0.00746269,0.0223881,0.00746269,0.00373134,0.0410448,0.0149254,0.0223881,0.0223881,0.00746269,0.011194,0.00746269,0.0223881,0.0149254,0,0.0186567,0.0149254,0.011194,0.00746269,0.00373134,0.00373134,0.0149254,0.0261194,0.0149254,0.00373134,0.00746269,0.00373134,0,0.00373134,0.00746269,0.00746269,0
0.00719424,0.0143885,0.0107914,0,0.0143885,0.00719424,0.00719424,0.00719424,0.00359712,0.00719424,0.0215827,0.00719424,0,0,0.00719424,0.0215827,0.0143885,0.00359712,0.00719424,0.0107914,0.0215827,0.0215827,0.00359712,0.00359712,0.0107914,0.00359712,0.0107914,0.0107914,0,0.00719424,0.00719424,0.0107914,0.0143885,0.0179856,0.0107914,0.0179856,0.00359712,0.00719424,0.0143885,0.00719424,0.00359712,0.00359712,0.0251799,0.0143885,0.00719424,0.00359712,0.0143885,0.00359712,0.0143885,0.0143885,0.00359712,0.00719424,0.00719424,0,0.0107914,0.00719424,0.00719424,0.00719424,0.00359712,0.0107914,0,0.0107914,0.0143885,0.00359712,0.0107914,0.0179856,0.00719424,0.00719424,0.0107914,0.0143885,0.00719424,0.0107914,0.00359712,0.00359712,0.0683453,0.00719424,0.0107914,0.00719424,0.00719424,0.0107914,0.00359712,0.0107914,0.0215827,0.00719424,0.0107914,0.0215827,0.00359712,0.0107914,0.0143885,0.00359712,0.028777,0.0251799,0.00719424,0.00359712,0.00719424,0.00719424,0.00719424,0.00719424,0.0143885,0.00359712,0
0.00332226,0.00996678,0.00664452,0,0.0232558,0.00332226,0.00996678,0.00332226,0.00332226,0.00664452,0.0199336,0.00664452,0.00332226,0.00996678,0.00996678,0.00996678,0.0166113,0,0.00664452,0.00996678,0.00996678,0.0199336,0.00996678,0.0166113,0,0.00664452,0.0199336,0.013289,0,0,0.00332226,0.00996678,0.0199336,0.00996678,0.013289,0.013289,0.00996678,0.00332226,0.00664452,0.00664452,0.00996678,0.013289,0.013289,0.0166113,0.0199336,0.00332226,0.00664452,0,0.00664452,0.0166113,0.00332226,0.013289,0.00332226,0,0.0232558,0.00996678,0.00664452,0.00664452,0.00332226,0.00332226,0.00996678,0.00664452,0.013289,0.00996678,0.013289,0.00996678,0.00996678,0.00332226,0.00332226,0.00996678,0.00996678,0.013289,0.00332226,0.00996678,0.0697674,0.00996678,0.00664452,0.0166113,0.00332226,0.0166113,0.00664452,0.0166113,0.0232558,0.00664452,0.00996678,0.0299003,0.00332226,0.00664452,0.0166113,0,0.013289,0.0232558,0.00996678,0.00332226,0.00664452,0.00664452,0.00996678,0.00664452,0.00664452,0.00996678,0
0.00396825,0.015873,0.0119048,0.00793651,0.0238095,0.00396825,0.00793651,0.00396825,0,0.00793651,0.0119048,0.00793651,0.00396825,0,0.00396825,0.00793651,0.0198413,0.00396825,0.00793651,0.00396825,0.0119048,0.0119048,0.00793651,0.00396825,0.0198413,0.00793651,0.015873,0.00793651,0.00793651,0.00793651,0.00793651,0.00396825,0.0119048,0.0119048,0.00793651,0.0119048,0.00793651,0.0119048,0.0119048,0.00396825,0.00396825,0.00793651,0.0119048,0.031746,0.0238095,0.00396825,0,0.00793651,0.0238095,0.0119048,0.0119048,0.015873,0.015873,0,0.015873,0.00793651,0.00793651,0.00396825,0.00396825,0.00396825,0.00396825,0.015873,0.00793651,0,0.00793651,0.0198413,0.015873,0.00396825,0.00793651,0.015873,0.00793651,0.0119048,0.00793651,0.015873,0.0555556,0.00793651,0.00793651,0.00396825,0,0.015873,0.00793651,0.0119048,0.0277778,0.00793651,0.00396825,0.0238095,0.00793651,0.0119048,0.00396825,0.00396825,0.015873,0.0238095,0.00396825,0.00396825,0.00793651,0.00396825,0.00793651,0.00396825,0.00793651,0.00793651,0
0.00732601,0.021978,0.00732601,0.00732601,0.029304,0.010989,0.00732601,0.003663,0.003663,0,0.018315,0.00732601,0,0.00732601,0.014652,0.00732601,0.021978,0,0.010989,0.003663,0.003663,0.021978,0.00732601,0.003663,0.010989,0.00732601,0.010989,0.00732601,0.00732601,0.003663,0.00732601,0.00732601,0.018315,0.010989,0.010989,0.014652,0.003663,0.010989,0.003663,0.010989,0.014652,0.014652,0.014652,0.025641,0.00732601,0.003663,0,0.00732601,0.014652,0.00732601,0,0.010989,0.00732601,0,0.014652,0.00732601,0.010989,0.00732601,0.003663,0.010989,0.003663,0.018315,0.00732601,0.003663,0.014652,0.018315,0.010989,0.010989,0.00732601,0.014652,0.014652,0.018315,0.003663,0.010989,0.0549451,0.014652,0.00732601,0.010989,0,0.014652,0.003663,0.018315,0.029304,0.00732601,0.00732601,0.018315,0.003663,0.00732601,0,0.003663,0.00732601,0.021978,0.00732601,0.003663,0.00732601,0.00732601,0.003663,0.014652,0.00732601,0.003663,0
