f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,label
0.00775194,0.00516796,0,0.00516796,0,0.00775194,0.00516796,0.0155039,0.0103359,0.0180879,0.00775194,0.0258398,0,0.0155039,0.00516796,0.00516796,0.00258398,0.00258398,0.0129199,0.00516796,0.0155039,0.0232558,0.0310078,0.0284238,0.00775194,0.00258398,0.0103359,0.00775194,0.0129199,0.0258398,0.0180879,0.00516796,0.0180879,0.0103359,0.00775194,0.0129199,0.0180879,0.00775194,0,0.00516796,0.00258398,0.00775194,0.0206718,0.0103359,0.0129199,0.00258398,0.0206718,0.00516796,0.0155039,0.0103359,0.0258398,0.0129199,0,0,0.0103359,0.0129199,0.00775194,0.00775194,0.0155039,0.0129199,0.0103359,0.00516796,0,0.0180879,0.00516796,0.00516796,0.00516796,0.00775194,0.0180879,0.00516796,0.0103359,0.0129199,0.00775194,0.00775194,0.0129199,0.00516796,0.0103359,0.00258398,0.0103359,0.0155039,0.0180879,0.00775194,0,0.00516796,0.00258398,0.0129199,0.00775194,0.00258398,0.0155039,0.0103359,0.00516796,0.00516796,0.00516796,0.0180879,0,0.0103359,0.00775194,0.0155039,0.0284238,0.00516796,1
0.00259067,0.00518135,0,0.00518135,0,0,0.00259067,0.0129534,0.00777202,0.0129534,0.00777202,0.0336788,0,0.0207254,0.0103627,0.00259067,0.00259067,0.00518135,0.0129534,0.00518135,0.0181347,0.0103627,0.0233161,0.0284974,0.0103627,0.00518135,0.0103627,0.0129534,0.00777202,0.0181347,0.0233161,0.00777202,0.0129534,0.00518135,0.00777202,0.00777202,0.015544,0.00777202,0.0103627,0.00777202,0.015544,0.0103627,0.00777202,0.00777202,0.00777202,0.00259067,0.015544,0.00518135,0.0129534,0.00259067,0.0207254,0.00777202,0.00259067,0,0.0181347,0.015544,0.015544,0.0103627,0.0181347,0.0103627,0.0233161,0.00777202,0,0.0181347,0.0103627,0.00259067,0.00777202,0.00777202,0.0103627,0.00777202,0.00777202,0.00777202,0.00518135,0.00259067,0.0103627,0.0103627,0.015544,0.00259067,0.00518135,0.0103627,0.0336788,0.00259067,0.0103627,0.00518135,0.00259067,0.0207254,0.00518135,0.00518135,0.00777202,0.00777202,0.00777202,0.00518135,0.0103627,0.0181347,0.00259067,0.00777202,0.00777202,0.0103627,0.0362694,0.0103627,1
0.00527705,0.0105541,0.00263852,0.00263852,0,0.00263852,0.00791557,0.0105541,0.00791557,0.00263852,0.00791557,0.0422164,0.00263852,0.0131926,0.00527705,0.0184697,0.00263852,0.0105541,0.00527705,0.00527705,0.0158311,0.0263852,0.0290237,0.0369393,0.0131926,0.00527705,0.0105541,0.0131926,0.0158311,0.0131926,0.0237467,0.00527705,0.0237467,0.00263852,0.00263852,0.00791557,0.0131926,0.0105541,0.00263852,0.00527705,0.00791557,0.00527705,0.00527705,0.0131926,0.0131926,0.00263852,0.0184697,0.00527705,0.0131926,0.00791557,0.0184697,0.0105541,0.00527705,0,0.00263852,0.00263852,0.0211082,0.00527705,0.0131926,0.0105541,0.0158311,0.00527705,0.00263852,0.0131926,0.00527705,0.00263852,0.0105541,0.00527705,0.0184697,0.00527705,0.0105541,0.00527705,0.00791557,0.00263852,0.00791557,0.00791557,0.00791557,0.00527705,0.00791557,0.0184697,0.0343008,0.0105541,0.00527705,0.00527705,0.00263852,0.0131926,0.00527705,0.00527705,0.0105541,0.00527705,0.0105541,0.00527705,0.00791557,0.0290237,0.00263852,0,0.00527705,0.0158311,0.0290237,0.00527705,1
0,0.002849,0.002849,0.002849,0,0.002849,0.00854701,0.002849,0.011396,0.00569801,0.00569801,0.02849,0,0.014245,0.002849,0.002849,0.002849,0.00854701,0.00569801,0.00569801,0.014245,0.011396,0.039886,0.031339,0.00569801,0,0.014245,0.002849,0.002849,0.034188,0.019943,0.00854701,0.002849,0.00854701,0.002849,0.00854701,0.00854701,0.014245,0.00854701,0.002849,0.011396,0.00854701,0.017094,0.011396,0.00854701,0.002849,0.014245,0.00854701,0.011396,0.00854701,0.022792,0.019943,0.00569801,0,0.017094,0.00854701,0.034188,0.017094,0.014245,0.00569801,0.014245,0.00569801,0.00569801,0.014245,0.00569801,0.00569801,0.011396,0.00569801,0.019943,0.00854701,0.011396,0.014245,0.014245,0.002849,0.002849,0.00854701,0.017094,0.002849,0.00569801,0.022792,0.034188,0.011396,0.00569801,0.00569801,0.002849,0.011396,0.014245,0.002849,0.00854701,0.002849,0.00854701,0.00569801,0.00569801,0.02849,0,0.002849,0.00569801,0.00854701,0.025641,0.002849,1
0.00506329,0.0101266,0.00253165,0.00506329,0,0.00253165,0.00759494,0.00759494,0.0126582,0.00759494,0.0101266,0.0303797,0.00253165,0.0177215,0.00506329,0.0278481,0.00253165,0.00759494,0.0151899,0.00506329,0.00506329,0.0278481,0.0202532,0.0531646,0.0101266,0.00506329,0.00759494,0.0151899,0.00759494,0.0278481,0.0126582,0.00506329,0.0101266,0.00759494,0.00506329,0.0101266,0.0177215,0.00759494,0.0101266,0,0.0101266,0.00506329,0.00253165,0.0151899,0.00759494,0.00506329,0.0126582,0.0151899,0.0177215,0,0.0253165,0.0101266,0.00253165,0,0.00253165,0.00253165,0.0202532,0.0126582,0.0202532,0.0101266,0.0101266,0.0151899,0.00759494,0.0177215,0.0101266,0.00506329,0.0101266,0.00506329,0.0101266,0.00759494,0.00506329,0.00506329,0.0151899,0,0.0126582,0.00759494,0.0126582,0,0.00759494,0.0227848,0.0253165,0.00759494,0.0101266,0.00506329,0.00253165,0.0126582,0.00506329,0.00253165,0.00253165,0.00506329,0.00759494,0.00253165,0.00759494,0.0177215,0,0.00506329,0.00506329,0.00759494,0.0202532,0.0126582,1
0.00520833,0.00260417,0,0.00520833,0.00260417,0.00260417,0.00520833,0.0130208,0.0078125,0.00520833,0.0104167,0.0182292,0,0.0182292,0.00260417,0.0260417,0.00520833,0.00520833,0.015625,0.00260417,0.0130208,0.0182292,0.0208333,0.0390625,0.0104167,0,0.0078125,0.0208333,0.00520833,0.0416667,0.015625,0.0078125,0.0104167,0.0104167,0.015625,0.0104167,0.0078125,0.0104167,0.0104167,0.00260417,0.0104167,0.0078125,0.00520833,0.0208333,0.0104167,0.00520833,0.0234375,0.0078125,0.00520833,0.00520833,0.0260417,0.0104167,0,0,0.0130208,0.0104167,0.0208333,0.00260417,0.0208333,0.00520833,0.00520833,0.0130208,0,0.03125,0.00520833,0.0104167,0.00260417,0.00260417,0.015625,0.0104167,0.00520833,0.0130208,0.0104167,0.00260417,0.00520833,0.00520833,0.0078125,0,0.00260417,0.0260417,0.0182292,0.015625,0.0078125,0.00520833,0.00520833,0.0078125,0.0078125,0,0.0078125,0.00520833,0.0078125,0.00260417,0.0130208,0.0208333,0,0.00260417,0.00520833,0.0130208,0.0286458,0.0078125,1
0.00915751,0.0128205,0.010989,0.00549451,0.014652,0.00732601,0.003663,0.0164835,0.0128205,0.00915751,0.003663,0.0347985,0.0018315,0.010989,0.00549451,0.021978,0.0274725,0.003663,0.00915751,0.010989,0.010989,0.00732601,0.0201465,0.0238095,0.00732601,0.003663,0.00549451,0.014652,0.00732601,0.010989,0.00915751,0.003663,0.00732601,0.00732601,0.003663,0.0018315,0.00732601,0.00732601,0.00732601,0.00549451,0.010989,0.0018315,0.00732601,0.00549451,0.00915751,0.0018315,0.014652,0.014652,0.0201465,0.014652,0.018315,0.00549451,0.00732601,0.00732601,0.010989,0.010989,0.0128205,0.00915751,0.0201465,0.0164835,0.0018315,0.0128205,0.00549451,0.0128205,0.00732601,0.00915751,0.00732601,0.003663,0.0128205,0.00732601,0.00915751,0.003663,0.00915751,0.0018315,0.003663,0.00732601,0.00915751,0.00732601,0.010989,0.021978,0.029304,0.0128205,0.00915751,0.003663,0.00549451,0.010989,0.00915751,0.00549451,0.010989,0.00549451,0.00915751,0.029304,0.0128205,0.014652,0.0018315,0.00549451,0.00549451,0.00549451,0.0128205,0.010989,1
0.00853242,0.0102389,0.0119454,0.00511945,0.0238908,0.00853242,0.00170648,0.0136519,0.00682594,0.00511945,0.00341297,0.0341297,0.00170648,0.0119454,0.00170648,0.0238908,0.0187713,0.00682594,0.00682594,0.00682594,0.0119454,0.0136519,0.0153584,0.0204778,0.00682594,0.00511945,0.00853242,0.0170648,0.00682594,0.0187713,0.0136519,0.00682594,0.00853242,0.0119454,0.00682594,0.0119454,0.00341297,0.00682594,0.00511945,0.00341297,0.0153584,0.0102389,0.00341297,0.0102389,0.00511945,0.00511945,0.00853242,0.0102389,0.0273038,0.0119454,0.0221843,0.00682594,0.00682594,0.00511945,0.0153584,0.00853242,0.0170648,0.00853242,0.0102389,0.0153584,0.00511945,0.0187713,0.0153584,0.0204778,0.00511945,0.0119454,0.00341297,0.00682594,0.0170648,0.00170648,0.00682594,0.00511945,0.0102389,0,0.00170648,0.00341297,0.0119454,0.00853242,0.00511945,0.0187713,0.0324232,0.00170648,0.0136519,0,0.00511945,0.00682594,0.00341297,0.0102389,0.0153584,0.00682594,0.00341297,0.0255973,0.0153584,0.0119454,0.00341297,0.00511945,0.00341297,0.00682594,0.00853242,0.00511945,1
0.0121951,0.0156794,0.0087108,0.00174216,0.0174216,0.010453,0.00348432,0.0174216,0.0087108,0.0139373,0.00348432,0.010453,0.00348432,0.0156794,0.00522648,0.0121951,0.0226481,0.00348432,0.0087108,0.00696864,0.0191638,0.00522648,0.0139373,0.0139373,0.00522648,0.00522648,0.0121951,0.0174216,0.00696864,0.0278746,0.00696864,0.0139373,0.0191638,0.0121951,0.010453,0.00522648,0.00348432,0.0087108,0.00522648,0.0087108,0.0139373,0.00522648,0.00522648,0.0121951,0.00348432,0.00174216,0.0121951,0.00348432,0.0121951,0.0121951,0.0191638,0.00348432,0.00696864,0.00696864,0.0139373,0.0087108,0.0174216,0.0156794,0.0174216,0.0139373,0.00696864,0.0156794,0.00174216,0.0174216,0.00348432,0.0139373,0.0087108,0.00696864,0.0121951,0.00174216,0.00522648,0.0174216,0.0156794,0.00348432,0.010453,0.00348432,0.00696864,0.0156794,0.0087108,0.0139373,0.0278746,0.00174216,0.0087108,0,0.010453,0.00696864,0.00348432,0.010453,0.0121951,0.00522648,0.0087108,0.0313589,0.00696864,0.010453,0.00348432,0.00348432,0.00348432,0.0087108,0.00348432,0.0139373,1
0.0066335,0.0149254,0.0182421,0.00165837,0.013267,0.00497512,0.00331675,0.0116086,0.00829187,0.013267,0.0066335,0.0116086,0.00165837,0.0248756,0.00331675,0.0165837,0.0232172,0.00331675,0.00331675,0.0066335,0.00829187,0.00829187,0.00995025,0.0116086,0.00829187,0.00165837,0.0066335,0.0248756,0.0066335,0.0348259,0.013267,0.00497512,0.013267,0.013267,0.00829187,0.0066335,0.0116086,0.00497512,0.00995025,0.00497512,0.0116086,0.00331675,0.0066335,0.00829187,0.0066335,0.00331675,0.0165837,0.00331675,0.0199005,0.0116086,0.00995025,0.00331675,0.00995025,0.00497512,0.0182421,0.0066335,0.00995025,0.013267,0.0182421,0.0149254,0.0066335,0.0215589,0.013267,0.0116086,0.00331675,0.0165837,0.0066335,0.0066335,0.013267,0.00331675,0.00165837,0.0066335,0.0149254,0.00331675,0.0149254,0.00995025,0.0066335,0.00829187,0.00829187,0.0165837,0.0315091,0.0066335,0.0066335,0,0.0116086,0.00829187,0.00331675,0.00995025,0.013267,0.00829187,0.013267,0.0331675,0.0149254,0.00995025,0.00165837,0.00497512,0.0066335,0.00165837,0.00497512,0.00497512,1
