f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
0.0439024,0.0317073,0.0439024,0.0487805,0.0292683,0.0317073,0.0292683,0.0365854,0.0268293,0.0219512,0.0268293,0.0512195,0.0243902,0.0365854,0.0146341,0.0292683,0.0390244,0.0219512,0.0268293,0.0341463,0.0170732,0.0121951,0.0609756,0.0219512,0.0268293,0.0439024,0.0414634,0.0317073,0.0487805,0.0463415,2
0.0477327,0.0310263,0.0501193,0.0453461,0.0334129,0.026253,0.0334129,0.0501193,0.0167064,0.0238663,0.026253,0.0572792,0.0286396,0.0238663,0.0143198,0.0238663,0.0381862,0.0286396,0.0310263,0.0214797,0.0190931,0.0214797,0.0453461,0.0238663,0.0357995,0.0620525,0.0214797,0.0357995,0.0405728,0.0429594,2
0.036036,0.0337838,0.036036,0.036036,0.0247748,0.0225225,0.0337838,0.045045,0.0202703,0.0225225,0.0202703,0.0675676,0.0157658,0.036036,0.0157658,0.018018,0.0405405,0.0247748,0.0135135,0.0225225,0.0472973,0.0135135,0.0720721,0.036036,0.0292793,0.0518018,0.0427928,0.0292793,0.0540541,0.0382883,2
0.0357942,0.0290828,0.033557,0.0447427,0.0268456,0.0223714,0.0357942,0.0469799,0.033557,0.0223714,0.0178971,0.0447427,0.0134228,0.0469799,0.0223714,0.0246085,0.0469799,0.0290828,0.0178971,0.0380313,0.01566,0.01566,0.0469799,0.0268456,0.0559284,0.0604027,0.033557,0.0290828,0.0402685,0.0425056,2
0.0378619,0.0334076,0.0267261,0.0334076,0.0289532,0.0222717,0.0311804,0.0334076,0.0222717,0.0311804,0.0178174,0.0579065,0.0178174,0.0556793,0.0311804,0.0334076,0.0289532,0.0244989,0.0267261,0.0334076,0.0534521,0.0200445,0.0668151,0.0200445,0.0244989,0.0334076,0.0311804,0.0267261,0.0489978,0.0467706,2
0.0410959,0.0296804,0.0342466,0.0342466,0.0388128,0.0205479,0.0205479,0.0502283,0.022831,0.022831,0.0159817,0.0456621,0.0159817,0.0593607,0.0319635,0.0251142,0.0342466,0.0136986,0.022831,0.022831,0.0205479,0.0182648,0.0730594,0.0273973,0.0388128,0.0525114,0.0410959,0.0410959,0.0502283,0.0342466,2
0.0286738,0.0358423,0.0304659,0.0322581,0.0304659,0.0358423,0.0358423,0.0412186,0.0197133,0.0340502,0.0340502,0.0322581,0.0179211,0.0501792,0.0358423,0.0250896,0.0125448,0.0250896,0.0286738,0.0448029,0.0448029,0.0250896,0.0537634,0.046595,0.0322581,0.0376344,0.0376344,0.0143369,0.0483871,0.0286738,2
0.0311958,0.0450607,0.0415945,0.0259965,0.0329289,0.0467938,0.0311958,0.0242634,0.0277296,0.0259965,0.0381282,0.0363951,0.017331,0.0554593,0.0259965,0.0363951,0.0103986,0.017331,0.034662,0.0294627,0.0381282,0.0259965,0.0606586,0.0381282,0.0450607,0.0398614,0.034662,0.0121317,0.05026,0.0207972,2
0.0329068,0.0438757,0.0420475,0.0255942,0.0274223,0.0402194,0.0365631,0.023766,0.0274223,0.0292505,0.0438757,0.0438757,0.0219378,0.0402194,0.0347349,0.0146252,0.0201097,0.0383912,0.0219378,0.047532,0.0530165,0.023766,0.0493601,0.0347349,0.0365631,0.0402194,0.0310786,0.0146252,0.0402194,0.0201097,2
0.0340265,0.047259,0.0340265,0.0170132,0.0510397,0.0453686,0.0434783,0.0359168,0.0189036,0.0302457,0.0378072,0.0415879,0.0170132,0.0415879,0.0340265,0.0302457,0.0170132,0.0302457,0.0226843,0.047259,0.0378072,0.0245747,0.0529301,0.0396975,0.0321361,0.0302457,0.0396975,0.0151229,0.0340265,0.0170132,2
