f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
0.025641,0.0512821,0.021978,0.021978,0.047619,0.032967,0.029304,0.018315,0.043956,0.032967,0.00732601,0.014652,0.018315,0.043956,0.032967,0.0769231,0.025641,0.021978,0.018315,0.0512821,0.029304,0.018315,0.03663,0.040293,0.032967,0.03663,0.0879121,0.032967,0.025641,0.021978,0
0.0251799,0.0359712,0.0323741,0.00359712,0.0503597,0.0467626,0.0395683,0.0323741,0.0359712,0.0359712,0.0143885,0.0251799,0.0107914,0.0431655,0.0359712,0.0899281,0.0179856,0.0143885,0.0179856,0.0467626,0.0251799,0.0215827,0.0395683,0.0647482,0.0215827,0.028777,0.0863309,0.0251799,0.0179856,0.0143885,0
0.0338983,0.0644068,0.0237288,0.0169492,0.0610169,0.0372881,0.0305085,0.0372881,0.0271186,0.0305085,0.0169492,0.0271186,0.020339,0.040678,0.0271186,0.0745763,0.0372881,0.0271186,0.0135593,0.0237288,0.0305085,0.0237288,0.0372881,0.040678,0.0305085,0.0169492,0.0813559,0.0271186,0.0305085,0.0101695,0
0.0214286,0.0642857,0.0357143,0.0178571,0.0571429,0.0428571,0.025,0.0357143,0.025,0.0285714,0.0214286,0.0214286,0.025,0.0285714,0.0357143,0.0892857,0.0392857,0.0142857,0.0214286,0.0428571,0.00357143,0.0285714,0.0321429,0.0357143,0.0214286,0.025,0.0821429,0.0357143,0.0285714,0.0142857,0
0.0361446,0.0401606,0.0281124,0.0120482,0.0562249,0.0401606,0.0240964,0.0200803,0.0401606,0.0441767,0.0200803,0.0281124,0.0200803,0.0321285,0.0321285,0.11245,0.0401606,0.0200803,0.0200803,0.0361446,0.0120482,0.0240964,0.0200803,0.0321285,0.0240964,0.0321285,0.0763052,0.0361446,0.0321285,0.00803213,0
0.0298507,0.0410448,0.0223881,0.0186567,0.0522388,0.0447761,0.0335821,0.0335821,0.0447761,0.0298507,0.0186567,0.0298507,0.0261194,0.0485075,0.0223881,0.0671642,0.0261194,0.0186567,0.0298507,0.0261194,0.0335821,0.0223881,0.0261194,0.0223881,0.0335821,0.0186567,0.0783582,0.0373134,0.0485075,0.0149254,0
0.0179856,0.0467626,0.028777,0.0251799,0.0467626,0.0647482,0.0323741,0.028777,0.0323741,0.0395683,0.0215827,0.0251799,0.0107914,0.0503597,0.028777,0.0899281,0.028777,0.028777,0.0143885,0.0323741,0.0395683,0.0251799,0.0251799,0.0359712,0.0323741,0.0143885,0.0503597,0.0215827,0.0395683,0.0215827,0
0.0199336,0.0398671,0.0166113,0.0199336,0.0431894,0.0398671,0.0332226,0.0166113,0.0398671,0.0465116,0.0332226,0.0299003,0.00996678,0.0332226,0.0332226,0.0963455,0.0265781,0.0199336,0.0265781,0.0332226,0.0465116,0.0332226,0.0299003,0.0398671,0.0332226,0.0199336,0.0431894,0.0531561,0.0299003,0.013289,0
0.031746,0.0396825,0.0238095,0.0119048,0.0357143,0.0476191,0.0357143,0.0396825,0.0277778,0.0476191,0.0396825,0.015873,0.00793651,0.0476191,0.0357143,0.0873016,0.031746,0.0238095,0.0198413,0.031746,0.0396825,0.0198413,0.0357143,0.015873,0.031746,0.0277778,0.0714286,0.031746,0.0277778,0.015873,0
0.040293,0.029304,0.032967,0.032967,0.043956,0.032967,0.029304,0.025641,0.040293,0.0586081,0.032967,0.014652,0.003663,0.047619,0.03663,0.0842491,0.032967,0.040293,0.010989,0.014652,0.043956,0.021978,0.025641,0.025641,0.025641,0.021978,0.0695971,0.040293,0.025641,0.014652,0
