f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
0.0284238,0.0129199,0.0594315,0.0284238,0.0180879,0.0258398,0.0206718,0.0413437,0.0387597,0.0310078,0.0335917,0.0465116,0.0284238,0.0439277,0.0180879,0.0232558,0.0284238,0.0180879,0.0361757,0.0310078,0.0335917,0.0180879,0.0878553,0.0697674,0.0310078,0.0594315,0.0206718,0.00516796,0.0387597,0.0232558,1
0.0233161,0.015544,0.0440415,0.0259067,0.0414508,0.0440415,0.0284974,0.0544041,0.0310881,0.0233161,0.0492228,0.0518135,0.0181347,0.0362694,0.015544,0.0284974,0.0259067,0.0129534,0.0310881,0.0259067,0.0466321,0.0207254,0.0621762,0.0569948,0.0388601,0.0647668,0.015544,0.00518135,0.0284974,0.0336788,1
0.0211082,0.00791557,0.0923483,0.0343008,0.0237467,0.0369393,0.0316623,0.0369393,0.0290237,0.0343008,0.0422164,0.055409,0.00791557,0.0474934,0.0237467,0.0211082,0.0263852,0.0158311,0.0290237,0.0211082,0.0422164,0.0184697,0.060686,0.0501319,0.0395778,0.0501319,0.0158311,0.00527705,0.0501319,0.0290237,1
0.034188,0.00854701,0.0683761,0.045584,0.025641,0.022792,0.034188,0.0512821,0.022792,0.02849,0.031339,0.048433,0.017094,0.025641,0.022792,0.022792,0.022792,0.019943,0.034188,0.034188,0.045584,0.017094,0.0940171,0.0541311,0.034188,0.048433,0.022792,0.011396,0.034188,0.017094,1
0.0227848,0.0126582,0.0607595,0.0329114,0.0202532,0.0303797,0.0227848,0.0278481,0.0303797,0.0405063,0.0278481,0.0683544,0.0177215,0.043038,0.0126582,0.0253165,0.035443,0.0278481,0.035443,0.0177215,0.0481013,0.0151899,0.0860759,0.0632911,0.0227848,0.0506329,0.0177215,0.0101266,0.0506329,0.0227848,1
0.0182292,0.0078125,0.0546875,0.03125,0.0208333,0.0390625,0.0130208,0.0390625,0.0338542,0.0390625,0.0364583,0.0677083,0.0130208,0.046875,0.0182292,0.0208333,0.0260417,0.0260417,0.0208333,0.0182292,0.046875,0.0130208,0.0833333,0.0703125,0.03125,0.0442708,0.0286458,0.0130208,0.0546875,0.0234375,1
0.018315,0.0494506,0.047619,0.029304,0.021978,0.025641,0.021978,0.025641,0.0347985,0.0201465,0.03663,0.0512821,0.021978,0.040293,0.018315,0.018315,0.0384615,0.0201465,0.029304,0.0201465,0.0641026,0.021978,0.0824176,0.0274725,0.032967,0.0274725,0.0512821,0.018315,0.03663,0.047619,1
0.0324232,0.0426621,0.0426621,0.0273038,0.0221843,0.0204778,0.0221843,0.0255973,0.0273038,0.0273038,0.0290102,0.0426621,0.0102389,0.0511945,0.0102389,0.0204778,0.0324232,0.0136519,0.0204778,0.0153584,0.0733788,0.0358362,0.0614334,0.0460751,0.0426621,0.0426621,0.0375427,0.0375427,0.0460751,0.0409556,1
0.0313589,0.0418118,0.0313589,0.0296167,0.0156794,0.0226481,0.0226481,0.0278746,0.0400697,0.033101,0.0261324,0.0365854,0.0261324,0.0574913,0.0209059,0.0261324,0.0278746,0.043554,0.0278746,0.0243902,0.0574913,0.0174216,0.0574913,0.0296167,0.0348432,0.0505226,0.0383275,0.0313589,0.0313589,0.0383275,1
0.0315091,0.0480929,0.0298507,0.0232172,0.0232172,0.0414594,0.0215589,0.0215589,0.0414594,0.0315091,0.0281924,0.0381426,0.0281924,0.0480929,0.0199005,0.0348259,0.0315091,0.0281924,0.0298507,0.0248756,0.0779436,0.0182421,0.053068,0.0348259,0.0232172,0.039801,0.0431177,0.0232172,0.0232172,0.0381426,1
